Entry	Protein families_Gene	Protein families	Gene Names	Length	Domain [FT];
P51841	cyclase_GUCY2F	cyclase	GUCY2F GUC2F RETGC2	1108	DOMAIN 532..812; /note="Protein kinase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159"; DOMAIN 884..1014; /note="Guanylate cyclase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00099";
P25092	cyclase_GUCY2C	cyclase	GUCY2C GUC2C STAR	1073	DOMAIN 489..749; /note="Protein kinase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159"; DOMAIN 824..954; /note="Guanylate cyclase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00099";
Q02846	cyclase_GUCY2D	cyclase	GUCY2D CORD6 GUC1A4 GUC2D RETGC RETGC1	1103	DOMAIN 525..808; /note="Protein kinase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159"; DOMAIN 880..1010; /note="Guanylate cyclase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00099";
Q07912	TYR_TNK2	TYR	TNK2 ACK1	1038	DOMAIN 126..385; /note="Protein kinase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159"; DOMAIN 388..448; /note="SH3"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00192"; DOMAIN 454..466; /note="CRIB"; DOMAIN 958..996; /note="UBA";
Q9UEW8	STE_STK39	STE	STK39 PASK SPAK	545	DOMAIN 63..337; /note="Protein kinase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159";
Q14289	TYR_PTK2B	TYR	PTK2B FAK2 PYK2 RAFTK	1009	DOMAIN 39..359; /note="FERM"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00084"; DOMAIN 425..683; /note="Protein kinase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159";
P07948	TYR_LYN	TYR	LYN JTK8	512	DOMAIN 63..123; /note="SH3"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00192"; DOMAIN 129..226; /note="SH2"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00191"; DOMAIN 247..501; /note="Protein kinase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159";
P17948	TYR_FLT1	TYR	FLT1 FLT FRT VEGFR1	1338	DOMAIN 32..123; /note="Ig-like C2-type 1"; DOMAIN 151..214; /note="Ig-like C2-type 2"; DOMAIN 230..327; /note="Ig-like C2-type 3"; DOMAIN 335..421; /note="Ig-like C2-type 4"; DOMAIN 428..553; /note="Ig-like C2-type 5"; DOMAIN 556..654; /note="Ig-like C2-type 6"; DOMAIN 661..747; /note="Ig-like C2-type 7"; DOMAIN 827..1158; /note="Protein kinase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159";
Q05397	TYR_PTK2	TYR	PTK2 FAK FAK1	1052	DOMAIN 35..355; /note="FERM"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00084"; DOMAIN 422..680; /note="Protein kinase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159";
P36888	TYR_FLT3	TYR	FLT3 CD135 FLK2 STK1	993	DOMAIN 253..343; /note="Ig-like C2-type"; DOMAIN 610..943; /note="Protein kinase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159";
O43318	STE_MAP3K7	STE	MAP3K7 TAK1	606	DOMAIN 36..291; /note="Protein kinase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159";
P07949	TYR_RET	TYR	RET CDHF12 CDHR16 PTC RET51	1114	DOMAIN 168..272; /note="Cadherin"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00043"; DOMAIN 724..1016; /note="Protein kinase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00159";
